Location_o,Distance_km
"Pune Municipal Corporation, Vadgaon, Pune 18.4616 / 73.8169",37.62394096336886
Vadholgaon,36.3018250252792
"Pune Municipal Corporation, Warje, Pune 18.4865 / 73.7968",34.17720561186946
"Baner STP, S.No.221 To 227 Baner",28.85006461131307
"Pune Municipal Corporation, Baner, 18.564744 / 73.776571",28.874367890509912
Pimple Nilekh,28.190542437784632
Sangvi Phase I,30.768519903873546
Sangvi Phase II (Dapodi),30.64763545044503
Kasarwadi I,28.88213117033763
Kasarwadi III,28.64431266508387
Kasarwadi II,28.746744164429973
Chinchwad Phase I (Bhatnagar),25.720469378347303
Chinchwad Phase II,25.25433192623806
Ravet,20.450625817179752
Akurdi,23.235260382267292
Chikhali Phase I,25.512092525575454
Chikhali Phase II,25.506101937248225
"Dongar Gaon, Lonavala",14.902599911035475
"Vithalwadi STP, S.No.20(P) Hingane",36.820227859124195
"Erandwane STP, S.No.3&4 Erandwane",36.56005187628069
"900 Boottee Street, Pune-!",37.981219723218885
"Pune Municipal Corporation, Matsyabij Kendra, Pune 18.5235 / 73.9854",48.57374894424268
"New Naidu STP, S.No.439 To 444 Pune final Plot No. 98 Knndy Road",37.115063523744915
"Pune Municipal Corporation,Naidu, 18.5329 / 73.8686",37.115063523744915
"Pune Municipal Corporation, Bhairoba, Pune 18.538394 / 73.902304",39.975789799805376
"Bhairoba STP, Final plot No.330 S.No.33A, 33B Koregaon Park",39.94558389575045
"Tanajiwadi S.No.24, Shivajinagar",35.41572614868984
"Pune Municipal Corporation, Mundhva, Pune 18.547650 73.950455",44.12601014283803
"Mundhawa STP, S.No.2,3A,4 Mundhawa",44.12066030563834
"Pune Municipal Corporation, Kharadi, Pune 18.547684 / 73.950533",44.132137305621846
"Kharadi STP, S.No.74, 75 Kharadi",44.12892718675117
"East Khadali, Near Lokmanya Tilak Highschool",35.80906569707821
"Pune Municipal Corporation, Botanical Garden, Pune 18.5660 / 73.8257",31.369314105735228
"Gaddi Adda, Ward No. Tamela Chawl, Khadaki.",33.111513799311176
"Bopodi STP, S.No.2A, 2B, 2C, 2D &6 (P) Bopodi",31.797185599957665
"Pune Municipal Corporation, Dhanori, Pune 18.5968 / 73.8969",36.914423520577984
Chahroli Phase II,38.75586028023625
