Location_o,Distance_km
"Sec-50, Nerul",12.044306582315327
Sec-12 C.B.D.,15.140004950158847
Colaba WWTF Nr Afgan Church Colaba Mumbai -05 Tel No.22150723,13.99354880273405
"LGP WWTF-IPS 89,Dr.A.B. Road Worli Mumbai 18. Tel No.24933697",9.516481128891389
"Sec-18, Airoli",11.9565529773557
"Bandra STP, MCGM, Mumbai",8.491355842674391
"Influent Pumping Station Bandra, Opp Swami Vivekanand Garden, Mahim Causway, Mahim (West), Mumbai 400016. Tel. No. 24464750",8.510507449447164
"Sec-20, Sanpada",12.16701519548221
"Sec-18, Vashi",12.875124366383044
"Sec-14, Koparkhairane",14.119985725421635
"Sec-15, Ghansoli",15.99935342609811
Ghatkopar WWTF Off eastern Express Highway Near Pant Nagar Traffic Signal Ghatkopar East. Tel No. 9082820120,16.349052360115174
"Charkop STP MHADA, Sector 8 & 9, Kandivali(W), Mumbai- 400067 Tel : 28681357",16.70254895003085
"Versova STP J.P. Road Jn.,Link Road, Near Apnana Bazar, Andheri (W), Mumbai- 53 Tel : 26366881",18.29367306277967
Bhandup WWTF Off eastern Express Highway Near Airoli Bridge Traffic Signal Bhandup East Tel No. 8286226994,17.5316574539131
"TMC STP Kopri, Thane",20.43667786394365
"Malad STP Marve Road, Mith Chawky, Malad (W), Mumbai-95 Tel : 28820860",21.233047688467263
Vitava,21.798880020321405
TMC STP Vartak Nagar,23.20119040331457
Kharegoan,25.389481172215273
Lodha,24.675367011717235
"Everest World, Kolshet",26.549487939500217
Badlapur STP,40.35634687008263
"TMC STP Mumbra, Thane",22.7042086763035
Chikloli,38.90003637059171
Vadalgaon STP,36.54150435438023
Chinchpada,34.862303229635515
Motagaon,29.938540466306335
Shanti Nagar-2,35.89855844586153
Shanti Nagar-1,35.93131282726491
Adharwadi,35.58727555540396
Barave,38.52601773522073
Hiranandani,29.25117221964368
"Shrushti complex, Mira Road",29.760897436046292
Mhada- shanti garden- Mira Penkarpadagavthan (Mhada Colony),30.048846562989077
"Shanti nagar Mira road station, Near ayappamandir,",30.366734569599668
Shanti Park - Mira road - Sanghavinagar,30.451933570934777
Nagla Bunder,31.273737100354875
"Ghodbunder- Kashigaon, Mashachhapada Bhayander, Survey No. 233",31.567748218605413
Jesal park,31.964362722136663
"Near Corporation garden, Kashimira road, Reservation No 170",32.01922982823209
Bhayander (W) near Garden Court Tower,32.61270861381785
"Kanakia, Mira Road (E)",32.4465949712893
"Golden Nest Road, Bhayander (E) Goddev",33.128395242644125
Bhayander West,33.871990394253935
Kharigaon,34.1987345564481
Vasai,37.65348190565231
Navghar Manikpur,40.31991936951698
Navghar Manikpur,42.19263001053491
Nalla sopara (East),44.8549128332969
Nalla sopara (West),45.85298098164797
Stepping Garden,35.16305011642102
Bhadwad,36.10639016386012
Manda Titwala 2.0 MLD.(E),44.74557974493011
Manda Titwala 1.0 MLD (W),44.746259841252446
Slaughter House- Idgah,36.03920291428312
Katai-2,36.94315313520137
Bakra Bazar- Bhiwandi,38.11741471903108
Katai-1,38.107488744788945
