Thermal_Plant,STP_Location,Distance_km
Tata Power Trombay Thermal Power Plant,Colaba WWTF Nr Afgan Church Colaba Mumbai -05 Tel No.22150723,13.99354880273405
Tata Power Trombay Thermal Power Plant,"LGP WWTF-IPS 89,Dr.A.B. Road Worli Mumbai 18. Tel No.24933697",9.516481128891389
Tata Power Trombay Thermal Power Plant,"Malad STP Marve Road, Mith Chawky, Malad (W), Mumbai-95 Tel : 28820860",21.233047688467263
Tata Power Trombay Thermal Power Plant,"Charkop STP MHADA, Sector 8 & 9, Kandivali(W), Mumbai- 400067 Tel : 28681357",16.70254895003085
Tata Power Trombay Thermal Power Plant,Bhandup WWTF Off eastern Express Highway Near Airoli Bridge Traffic Signal Bhandup East Tel No. 8286226994,17.5316574539131
Tata Power Trombay Thermal Power Plant,Ghatkopar WWTF Off eastern Express Highway Near Pant Nagar Traffic Signal Ghatkopar East. Tel No. 9082820120,16.349052360115174
Tata Power Trombay Thermal Power Plant,"Bandra STP, MCGM, Mumbai",8.491355842674391
Tata Power Trombay Thermal Power Plant,"Versova STP J.P. Road Jn.,Link Road, Near Apnana Bazar, Andheri (W), Mumbai- 53 Tel : 26366881",18.29367306277967
Tata Power Trombay Thermal Power Plant,"Influent Pumping Station Bandra, Opp Swami Vivekanand Garden, Mahim Causway, Mahim (West), Mumbai 400016. Tel. No. 24464750",8.510507449447164
Tata Power Trombay Thermal Power Plant,"TMC STP Kopri, Thane",20.43667786394365
Tata Power Trombay Thermal Power Plant,"TMC STP Mumbra, Thane",22.7042086763035
Tata Power Trombay Thermal Power Plant,TMC STP Vartak Nagar,23.20119040331457
Tata Power Trombay Thermal Power Plant,Vitava,21.798880020321405
Tata Power Trombay Thermal Power Plant,Kharegoan,25.389481172215273
Tata Power Trombay Thermal Power Plant,"Everest World, Kolshet",26.549487939500217
Tata Power Trombay Thermal Power Plant,Lodha,24.675367011717235
Tata Power Trombay Thermal Power Plant,Nagla Bunder,31.273737100354875
Tata Power Trombay Thermal Power Plant,Hiranandani,29.25117221964368
Tata Power Trombay Thermal Power Plant,Bhayander (W) near Garden Court Tower,32.61270861381785
Tata Power Trombay Thermal Power Plant,"Golden Nest Road, Bhayander (E) Goddev",33.128395242644125
Tata Power Trombay Thermal Power Plant,"Kanakia, Mira Road (E)",32.4465949712893
Tata Power Trombay Thermal Power Plant,Shanti Park - Mira road - Sanghavinagar,30.451933570934777
Tata Power Trombay Thermal Power Plant,Mhada- shanti garden- Mira Penkarpadagavthan (Mhada Colony),30.048846562989077
Tata Power Trombay Thermal Power Plant,"Shanti nagar Mira road station, Near ayappamandir,",30.366734569599668
Tata Power Trombay Thermal Power Plant,"Near Corporation garden, Kashimira road, Reservation No 170",32.01922982823209
Tata Power Trombay Thermal Power Plant,"Ghodbunder- Kashigaon, Mashachhapada Bhayander, Survey No. 233",31.567748218605413
Tata Power Trombay Thermal Power Plant,Jesal park,31.964362722136663
Tata Power Trombay Thermal Power Plant,"Shrushti complex, Mira Road",29.760897436046292
Tata Power Trombay Thermal Power Plant,Bhayander West,33.871990394253935
Tata Power Trombay Thermal Power Plant,Kharigaon,34.1987345564481
Tata Power Trombay Thermal Power Plant,Nalla sopara (East),44.8549128332969
Tata Power Trombay Thermal Power Plant,Nalla sopara (West),45.85298098164797
Tata Power Trombay Thermal Power Plant,Navghar Manikpur,42.19263001053491
Tata Power Trombay Thermal Power Plant,Navghar Manikpur,40.31991936951698
Tata Power Trombay Thermal Power Plant,Vasai,37.65348190565231
